label,loss,Reconstruction_Loss,Distance_Loss,pred,
bad,0.016010668,0.011718594,0.004292074,good,FALSE
bad,0.013920945,0.009650221,0.004270724,good,FALSE
bad,0.019230169,0.01509933,0.004130838,good,FALSE
bad,0.022307208,0.018116621,0.004190587,bad,TRUE
bad,0.021615339,0.017380999,0.00423434,bad,TRUE
bad,0.020989875,0.016723809,0.004266065,bad,TRUE
bad,0.022216018,0.017990409,0.004225609,bad,TRUE
bad,0.020927377,0.016749476,0.004177902,bad,TRUE
bad,0.021119694,0.016903432,0.004216262,bad,TRUE
bad,0.020761394,0.016556057,0.004205337,bad,TRUE
bad,0.021574542,0.017316405,0.004258137,bad,TRUE
bad,0.021640821,0.017391954,0.004248867,bad,TRUE
bad,0.023649797,0.019468514,0.004181283,bad,TRUE
bad,0.022908406,0.018767487,0.004140919,bad,TRUE
bad,0.022904021,0.018746281,0.00415774,bad,TRUE
bad,0.022374034,0.018213998,0.004160036,bad,TRUE
bad,0.022927558,0.018769362,0.004158196,bad,TRUE
bad,0.022801246,0.018632377,0.004168868,bad,TRUE
bad,0.022707197,0.018523178,0.004184019,bad,TRUE
bad,0.022877794,0.018717761,0.004160032,bad,TRUE
bad,0.023260226,0.01912482,0.004135406,bad,TRUE
bad,0.022809328,0.018655249,0.004154078,bad,TRUE
bad,0.022913404,0.018770901,0.004142502,bad,TRUE
bad,0.022674612,0.01851138,0.004163231,bad,TRUE
bad,0.022386386,0.018197336,0.00418905,bad,TRUE
bad,0.021928921,0.017748567,0.004180353,bad,TRUE
bad,0.021704052,0.017547341,0.004156711,bad,TRUE
bad,0.021583581,0.01741758,0.004166,bad,TRUE
bad,0.021225853,0.01706704,0.004158813,bad,TRUE
good,0.021015453,0.016877711,0.004137741,bad,FALSE
good,0.020816073,0.016676182,0.004139891,bad,FALSE
good,0.020665546,0.016529772,0.004135775,good,TRUE
good,0.0203831,0.016249816,0.004133283,good,TRUE
good,0.020180774,0.016031196,0.004149578,good,TRUE
good,0.020095002,0.015958127,0.004136875,good,TRUE
good,0.019919063,0.015788331,0.004130731,good,TRUE
good,0.019767332,0.015661412,0.00410592,good,TRUE
good,0.019741609,0.015649924,0.004091684,good,TRUE
good,0.019907777,0.015823485,0.004084292,good,TRUE
good,0.019837713,0.015762451,0.004075262,good,TRUE
good,0.019668116,0.015607536,0.004060581,good,TRUE
good,0.019509896,0.015447748,0.004062148,good,TRUE
good,0.019442251,0.015378303,0.004063948,good,TRUE
good,0.01949572,0.015432718,0.004063002,good,TRUE
good,0.01953077,0.015475057,0.004055713,good,TRUE
good,0.01952631,0.015486524,0.004039786,good,TRUE
good,0.019440424,0.015407765,0.004032659,good,TRUE
good,0.01954778,0.015529707,0.004018073,good,TRUE
good,0.019458576,0.015439578,0.004018999,good,TRUE
good,0.019278838,0.015258982,0.004019855,good,TRUE
good,0.01932721,0.015300456,0.004026754,good,TRUE
good,0.019171102,0.015140038,0.004031063,good,TRUE
good,0.019042295,0.015026324,0.004015971,good,TRUE
good,0.018944295,0.01493966,0.004004635,good,TRUE
good,0.018933783,0.01493231,0.004001473,good,TRUE
good,0.018925518,0.014923208,0.00400231,good,TRUE
good,0.018859421,0.014859747,0.003999674,good,TRUE
good,0.018756691,0.014755876,0.004000816,good,TRUE
good,0.018702618,0.014708126,0.003994492,good,TRUE
good,0.0186202,0.014634858,0.003985342,good,TRUE
good,0.01856567,0.014578024,0.003987646,good,TRUE
good,0.018559503,0.014574368,0.003985136,good,TRUE
good,0.018454763,0.014477118,0.003977645,good,TRUE
good,0.018558683,0.014578233,0.00398045,good,TRUE
good,0.018483547,0.014504567,0.00397898,good,TRUE
good,0.018445817,0.014454742,0.003991074,good,TRUE
good,0.018406481,0.014397754,0.004008727,good,TRUE
good,0.018327102,0.01431944,0.004007662,good,TRUE
good,0.018308589,0.014286739,0.00402185,good,TRUE
good,0.018252261,0.014221992,0.00403027,good,TRUE
good,0.0182218,0.014186758,0.004035042,good,TRUE
good,0.018263917,0.014226401,0.004037515,good,TRUE
good,0.018196279,0.014133454,0.004062825,good,TRUE
good,0.018142176,0.014081294,0.004060883,good,TRUE
good,0.018140995,0.014084821,0.004056174,good,TRUE
good,0.01806484,0.014004217,0.004060623,good,TRUE
good,0.018122004,0.01406019,0.004061814,good,TRUE
good,0.018046575,0.013987364,0.004059212,good,TRUE
good,0.017986773,0.013926818,0.004059956,good,TRUE
good,0.017903121,0.013854303,0.004048818,good,TRUE
good,0.017883067,0.013820796,0.004062271,good,TRUE
good,0.017810744,0.013758761,0.004051984,good,TRUE
good,0.017835135,0.013782231,0.004052904,good,TRUE
good,0.017798923,0.013746027,0.004052896,good,TRUE
good,0.017838405,0.013786791,0.004051614,good,TRUE
good,0.017850555,0.01379894,0.004051615,good,TRUE
good,0.017768566,0.013721134,0.004047433,good,TRUE
good,0.017755457,0.013711438,0.004044019,good,TRUE
good,0.017750023,0.013704612,0.004045412,good,TRUE
bad,0.018462852,0.014428235,0.004034617,good,FALSE
bad,0.018794793,0.014767693,0.0040271,good,FALSE
bad,0.019479693,0.01545371,0.004025983,good,FALSE
bad,0.019899482,0.015873522,0.004025961,good,FALSE
bad,0.02061573,0.016591136,0.004024595,bad,TRUE
bad,0.021469623,0.017449306,0.004020317,bad,TRUE
bad,0.022192432,0.018173214,0.004019218,bad,TRUE
bad,0.02233158,0.018307757,0.004023822,bad,TRUE
bad,0.02318098,0.019154431,0.00402655,bad,TRUE
bad,0.023329787,0.019296176,0.004033611,bad,TRUE
