label,loss,Reconstruction_Loss,Distance_Loss,pred
bad,0.019474573,0.015571102,0.003903471,bad
bad,0.017607583,0.014103307,0.003504275,good
bad,0.015799391,0.01208039,0.003719,good
bad,0.015824991,0.012008794,0.003816197,good
bad,0.017060319,0.013060521,0.003999799,good
bad,0.016838516,0.012923426,0.003915091,good
bad,0.016919693,0.012954476,0.003965217,good
bad,0.018308464,0.014178263,0.004130201,good
bad,0.017615989,0.01349825,0.00411774,good
bad,0.01801803,0.013899304,0.004118727,good
bad,0.0181981,0.014087833,0.004110267,good
bad,0.01903843,0.014931207,0.004107223,bad
bad,0.018715811,0.014621182,0.004094629,good
bad,0.020769296,0.016698968,0.004070328,bad
bad,0.020171424,0.016167414,0.00400401,bad
bad,0.020256668,0.016230217,0.004026451,bad
bad,0.019972616,0.015946436,0.00402618,bad
bad,0.020342147,0.016304367,0.00403778,bad
bad,0.020421353,0.016377842,0.004043511,bad
bad,0.020536867,0.016476726,0.00406014,bad
bad,0.020474913,0.016431258,0.004043655,bad
bad,0.020747565,0.016698385,0.00404918,bad
bad,0.020558308,0.016453577,0.004104731,bad
bad,0.020795306,0.016691453,0.004103853,bad
bad,0.020629363,0.016494771,0.004134591,bad
bad,0.020297682,0.016163111,0.004134571,bad
bad,0.020036136,0.015896451,0.004139685,bad
bad,0.019797059,0.015690458,0.004106601,bad
bad,0.019793762,0.015698069,0.004095693,bad
bad,0.019502658,0.015435606,0.004067052,bad
good,0.019286271,0.01522524,0.004061031,bad
good,0.019200151,0.015148418,0.004051734,bad
good,0.019134084,0.015053717,0.004080367,bad
good,0.018931686,0.014845695,0.004085991,good
good,0.018891455,0.014793565,0.00409789,good
good,0.018960599,0.014842659,0.00411794,good
good,0.018971576,0.014854194,0.004117382,good
good,0.018819291,0.014717488,0.004101804,good
good,0.018684204,0.014596652,0.004087552,good
good,0.018932051,0.014846597,0.004085455,good
good,0.018857327,0.014769367,0.00408796,good
good,0.018685198,0.014605432,0.004079766,good
good,0.018712657,0.014607922,0.004104735,good
good,0.018594871,0.014499059,0.004095812,good
good,0.018488914,0.014395654,0.00409326,good
good,0.018418126,0.014327188,0.004090938,good
good,0.018414742,0.01432762,0.004087122,good
good,0.018422718,0.014332839,0.004089879,good
good,0.018462663,0.01437347,0.004089193,good
good,0.018404669,0.014314671,0.004089998,good
good,0.018283551,0.01419311,0.004090441,good
good,0.018454773,0.014360153,0.004094621,good
good,0.018340517,0.014258697,0.00408182,good
good,0.018210903,0.014132139,0.004078764,good
good,0.018194736,0.014099126,0.004095609,good
good,0.018216418,0.014115213,0.004101205,good
good,0.018228839,0.01411857,0.004110269,good
good,0.018200158,0.014096288,0.004103871,good
good,0.018117407,0.014018017,0.00409939,good
good,0.018032781,0.013930926,0.004101856,good
good,0.017981983,0.013880053,0.00410193,good
good,0.017924428,0.013823274,0.004101153,good
good,0.017859107,0.013752957,0.004106149,good
good,0.017763627,0.013666734,0.004096893,good
good,0.017837124,0.013734704,0.00410242,good
good,0.017767613,0.013666466,0.004101147,good
good,0.01775199,0.013633777,0.004118213,good
good,0.017687291,0.013557213,0.004130077,good
good,0.01761167,0.013487891,0.004123779,good
good,0.017574039,0.013456368,0.004117671,good
good,0.017690512,0.013564434,0.004126078,good
good,0.017652693,0.013520227,0.004132466,good
good,0.017641075,0.013514165,0.00412691,good
good,0.017562396,0.013437993,0.004124403,good
good,0.017513948,0.013388563,0.004125385,good
good,0.017548675,0.013429134,0.004119541,good
good,0.01754173,0.013428656,0.004113074,good
good,0.017525194,0.013413005,0.004112189,good
good,0.017470368,0.013348989,0.004121379,good
good,0.017437885,0.013317012,0.004120873,good
good,0.017443386,0.013308123,0.004135263,good
good,0.017413186,0.013267388,0.004145798,good
good,0.017351782,0.013214902,0.00413688,good
good,0.017356694,0.013206379,0.004150316,good
good,0.017335195,0.01319334,0.004141855,good
good,0.017310139,0.013168376,0.004141763,good
good,0.01726166,0.013124394,0.004137267,good
good,0.017218901,0.013087182,0.004131719,good
good,0.017196456,0.013076598,0.004119857,good
good,0.017145562,0.013029585,0.004115977,good
bad,0.017790899,0.013676317,0.004114581,good
bad,0.018167811,0.014062617,0.004105194,good
bad,0.019064561,0.014962453,0.004102108,bad
bad,0.01928025,0.015176936,0.004103315,bad
bad,0.019976353,0.015866577,0.004109776,bad
bad,0.020721561,0.016620117,0.004101445,bad
bad,0.021387603,0.017292175,0.004095428,bad
bad,0.021540582,0.017448312,0.00409227,bad
bad,0.022406219,0.018314132,0.004092087,bad
bad,0.022528044,0.018436024,0.00409202,bad
